date,high_price,min_next_50_bars,actual_drop_pct,required_macro_pct,required_micro_pct,confirmed_as_macro,confirmed_as_micro,missed_by_macro_pct
2014-10-14,411.7,325.75,20.8769,16.79,8.78,True,True,-4.0869
2014-11-13,457.09,310.74,32.0178,13.82,7.21,True,True,-18.1978
2015-01-26,309.38,217.11,29.8242,20.92,11.09,True,True,-8.9042
2015-02-15,265.61,233.84,11.9611,22.52,11.22,False,True,10.5589
2015-03-10,300.04,219.16,26.9564,13.66,6.47,True,True,-13.2964
2015-04-06,261.8,219.16,16.2872,12.26,5.68,True,True,-4.0272
2015-05-09,247.8,222.88,10.0565,10.14,4.92,False,True,0.0835
2015-05-24,241.98,222.88,7.8932,7.1,3.1,True,True,-0.7932
2015-06-17,256.85,240.51,6.3617,5.96,2.95,True,True,-0.4017
2015-07-12,314.39,210.49,33.0481,8.16,4.63,True,True,-24.8881
2015-07-27,297.77,210.49,29.3112,8.57,4.39,True,True,-20.7412
2015-09-15,259.18,227.09,12.3814,11.12,5.58,True,True,-1.2614
2015-11-04,495.56,311.08,37.2266,13.25,8.34,True,True,-23.9766
2015-12-12,469.1,364.33,22.3343,13.73,7.22,True,True,-8.6043
2016-01-08,462.93,364.33,21.2991,10.07,4.77,True,True,-11.2291
2016-02-21,448.05,400.57,10.597,8.66,4.17,True,True,-1.937
2016-03-27,428.8,414.82,3.2603,5.29,2.3,False,True,2.0297
2016-04-26,467.96,438.71,6.2505,4.02,2.02,True,True,-2.2305
2016-05-09,462.48,438.71,5.1397,4.61,2.33,True,True,-0.5297
2016-06-18,777.99,547.47,29.6302,10.43,6.18,True,True,-19.2002
2016-07-03,704.97,547.47,22.3414,16.07,8.77,True,True,-6.2714
2016-09-11,628.82,596.3,5.1716,5.43,2.51,False,True,0.2584
2016-11-03,745.77,702.03,5.8651,6.2,3.69,False,True,0.3349
2016-11-19,756.24,731.03,3.3336,5.98,3.2,False,True,2.6464
2017-01-05,1191.1,777.76,34.7024,11.8,7.31,True,True,-22.9024
2017-02-09,1088.99,937.52,13.9092,11.14,5.63,True,True,-2.7692
2017-03-03,1280.31,937.52,26.774,8.17,4.1,True,True,-18.604
2017-05-25,2763.71,2038.87,26.2271,15.33,9.11,True,True,-10.8971
2017-06-06,2999.91,1929.82,35.6707,17.18,9.64,True,True,-18.4907
2017-07-07,2916.14,1929.82,33.8228,18.56,9.17,True,True,-15.2628
2017-07-20,2900.7,2529.45,12.7986,20.16,10.79,False,True,7.3614
2017-08-17,4484.7,3154.95,29.6508,16.28,8.8,True,True,-13.3708
2017-09-02,4975.04,3154.95,36.5844,15.19,7.81,True,True,-21.3944
2017-12-17,20089.0,6955.27,65.3777,20.42,11.65,True,True,-44.9577
2018-01-06,17712.4,6955.27,60.7322,26.94,14.11,True,True,-33.7922
2018-02-20,11958.5,6636.32,44.5054,28.37,13.11,True,True,-16.1354
2018-03-05,11704.1,6636.32,43.2992,22.42,9.91,True,True,-20.8792
2018-05-05,9964.5,6083.69,38.9464,13.66,6.32,True,True,-25.2864
2018-06-03,7754.89,5903.44,23.8746,13.25,6.03,True,True,-10.6246
2018-07-24,8424.27,6184.71,26.5846,10.17,5.18,True,True,-16.4146
2018-09-05,7388.43,6225.98,15.7334,11.25,5.43,True,True,-4.4834
2018-09-22,6814.56,6256.24,8.193,9.57,4.52,False,True,1.377
2018-10-15,6965.06,3779.13,45.7416,8.02,3.94,True,True,-37.7216
2018-11-07,6552.16,3236.76,50.6001,5.17,2.32,True,True,-45.4301
2018-12-24,4271.79,3399.47,20.4205,17.48,8.75,True,True,-2.9405
2019-01-08,4109.02,3399.47,17.2681,14.17,6.56,True,True,-3.0981
2019-02-24,4210.64,3761.56,10.6654,8.81,4.5,True,True,-1.8554
2019-04-10,5421.65,5064.49,6.5877,8.18,4.55,False,True,1.5923
2019-05-30,9008.31,7688.08,14.6557,13.56,7.38,True,True,-1.0957
2019-06-26,13796.49,9477.64,31.304,12.04,6.76,True,True,-19.264
2019-07-10,13129.53,9477.64,27.8143,19.35,10.6,True,True,-8.4643
2019-08-06,12273.82,8486.99,30.8529,16.8,8.08,True,True,-14.0529
2019-09-06,10898.76,7493.49,31.2446,13.3,6.14,True,True,-17.9446
2019-10-11,8721.78,7047.92,19.1917,11.63,5.49,True,True,-7.5617
2019-10-26,10021.74,7047.92,29.6737,12.05,6.44,True,True,-17.6237
2019-12-23,7656.18,6985.47,8.7604,11.77,5.8,False,True,3.0096
2020-02-13,10457.63,4970.79,52.4673,8.37,4.24,True,True,-44.0973
2020-04-07,7427.94,6642.11,10.5794,18.55,8.98,False,True,7.9706
2020-05-08,9996.74,8601.8,13.9539,11.21,5.62,True,True,-2.7439
