bar_index,date,close,state,running_extreme_price,running_extreme_bar,bars_tracking,pct_from_extreme,locked_threshold,pct_needed_to_confirm,just_confirmed_pivot,long_unconfirmed_run
11,2014-09-28,377.18,SEEKING_LOW,374.33,11,0,0.7614,15.27,14.5086,False,True
12,2014-09-29,375.47,SEEKING_LOW,372.24,12,0,0.8677,15.27,14.4023,False,True
13,2014-09-30,386.94,SEEKING_LOW,372.24,12,1,3.9491,15.27,11.3209,False,True
14,2014-10-01,383.61,SEEKING_LOW,372.24,12,2,3.0545,15.27,12.2155,False,True
15,2014-10-02,375.07,SEEKING_LOW,372.24,12,3,0.7603,15.27,14.5097,False,True
16,2014-10-03,359.51,SEEKING_LOW,357.86,16,0,0.4611,15.27,14.8089,False,True
17,2014-10-04,328.87,SEEKING_LOW,325.89,17,0,0.9144,15.27,14.3556,False,True
18,2014-10-05,320.51,SEEKING_LOW,289.3,18,0,10.7881,15.27,4.4819,False,True
19,2014-10-06,330.08,SEEKING_LOW,289.3,18,1,14.0961,15.27,1.1739,False,True
20,2014-10-07,336.19,SEEKING_HIGH,339.25,20,0,-0.902,19.46,18.558,True,False
21,2014-10-08,352.94,SEEKING_HIGH,354.36,21,0,-0.4007,19.46,19.0593,False,False
22,2014-10-09,365.03,SEEKING_HIGH,382.73,22,0,-4.6247,19.46,14.8353,False,False
23,2014-10-10,361.56,SEEKING_HIGH,382.73,22,1,-5.5313,19.46,13.9287,False,False
24,2014-10-11,362.3,SEEKING_HIGH,382.73,22,2,-5.338,19.46,14.122,False,False
25,2014-10-12,378.55,SEEKING_HIGH,382.73,22,3,-1.0922,19.46,18.3678,False,False
26,2014-10-13,390.41,SEEKING_HIGH,397.23,26,0,-1.7169,19.46,17.7431,False,False
27,2014-10-14,400.87,SEEKING_HIGH,411.7,27,0,-2.6306,19.46,16.8294,False,False
28,2014-10-15,394.77,SEEKING_HIGH,411.7,27,1,-4.1122,19.46,15.3478,False,False
29,2014-10-16,382.56,SEEKING_HIGH,411.7,27,2,-7.078,19.46,12.382,False,False
30,2014-10-17,383.76,SEEKING_HIGH,411.7,27,3,-6.7865,19.46,12.6735,False,False
31,2014-10-18,391.44,SEEKING_HIGH,411.7,27,4,-4.9211,19.46,14.5389,False,False
32,2014-10-19,389.55,SEEKING_HIGH,411.7,27,5,-5.3801,19.46,14.0799,False,False
33,2014-10-20,382.85,SEEKING_HIGH,411.7,27,6,-7.0075,19.46,12.4525,False,False
34,2014-10-21,386.48,SEEKING_HIGH,411.7,27,7,-6.1258,19.46,13.3342,False,False
35,2014-10-22,383.16,SEEKING_HIGH,411.7,27,8,-6.9322,19.46,12.5278,False,False
36,2014-10-23,358.42,SEEKING_HIGH,411.7,27,9,-12.9415,19.46,6.5185,False,False
37,2014-10-24,358.35,SEEKING_HIGH,411.7,27,10,-12.9585,19.46,6.5015,False,False
