macro_high_date,macro_high_price,macro_low_date,macro_low_price,swing_drop_pct,macro_bars,micro_pivots_inside,micro_highs_inside,micro_lows_inside,short_opps_detail,system_saw_any_short
2014-10-14,411.7,2014-11-02,320.63,22.12,19,2,1,1,"[{'micro_high_price': 411.7, 'drop_pct': 20.88}]",True
2014-11-13,457.09,2015-01-14,171.51,62.48,62,8,4,4,"[{'micro_high_price': 457.09, 'drop_pct': 24.22}, {'micro_high_price': 394.7, 'drop_pct': 21.1}, {'micro_high_price': 336.29, 'drop_pct': 47.04}, {'micro_high_price': 298.75, 'drop_pct': 40.38}]",True
2015-01-26,309.38,2015-02-01,212.01,31.47,6,2,1,1,"[{'micro_high_price': 309.38, 'drop_pct': 29.82}]",True
2015-03-10,300.04,2015-04-26,214.87,28.39,47,8,4,4,"[{'micro_high_price': 300.04, 'drop_pct': 19.11}, {'micro_high_price': 277.3, 'drop_pct': 20.97}, {'micro_high_price': 261.8, 'drop_pct': 16.29}, {'micro_high_price': 237.91, 'drop_pct': 7.77}]",True
2015-06-17,256.85,2015-06-25,240.37,6.42,8,2,1,1,"[{'micro_high_price': 256.85, 'drop_pct': 6.36}]",True
2015-07-12,314.39,2015-08-18,211.08,32.86,37,4,2,2,"[{'micro_high_price': 314.39, 'drop_pct': 16.98}, {'micro_high_price': 297.77, 'drop_pct': 29.31}]",True
2015-09-15,259.18,2015-09-22,225.12,13.14,7,2,1,1,"[{'micro_high_price': 259.18, 'drop_pct': 12.38}]",True
2015-10-30,334.17,2015-10-31,309.25,7.46,1,2,1,1,"[{'micro_high_price': 334.17, 'drop_pct': 6.91}]",True
2015-11-04,495.56,2015-11-11,301.0,39.26,7,4,2,2,"[{'micro_high_price': 495.56, 'drop_pct': 37.23}, {'micro_high_price': 390.59, 'drop_pct': 20.36}]",True
2015-12-12,469.1,2016-01-16,354.91,24.34,35,4,2,2,"[{'micro_high_price': 469.1, 'drop_pct': 11.05}, {'micro_high_price': 462.93, 'drop_pct': 21.3}]",True
2016-01-20,425.27,2016-01-31,367.83,13.51,11,2,1,1,"[{'micro_high_price': 425.27, 'drop_pct': 13.29}]",True
2016-02-21,448.05,2016-03-05,394.04,12.05,13,4,2,2,"[{'micro_high_price': 448.05, 'drop_pct': 10.6}, {'micro_high_price': 441.51, 'drop_pct': 9.27}]",True
2016-04-26,467.96,2016-04-28,436.65,6.69,2,2,1,1,"[{'micro_high_price': 467.96, 'drop_pct': 6.25}]",True
2016-05-09,462.48,2016-05-20,437.39,5.43,11,2,1,1,"[{'micro_high_price': 462.48, 'drop_pct': 5.14}]",True
2016-05-29,553.96,2016-06-23,558.14,-0.75,25,6,3,3,"[{'micro_high_price': 553.96, 'drop_pct': 4.07}, {'micro_high_price': 716.0, 'drop_pct': 16.74}, {'micro_high_price': 777.99, 'drop_pct': 23.38}]",True
2016-06-18,777.99,2016-06-23,558.14,28.26,5,2,1,1,"[{'micro_high_price': 777.99, 'drop_pct': 23.38}]",True
2016-07-03,704.97,2016-08-02,531.33,24.63,30,2,1,1,"[{'micro_high_price': 704.97, 'drop_pct': 22.34}]",True
2016-11-03,745.77,2017-01-12,755.76,-1.34,70,10,5,5,"[{'micro_high_price': 745.77, 'drop_pct': 5.87}, {'micro_high_price': 740.05, 'drop_pct': 5.14}, {'micro_high_price': 756.24, 'drop_pct': 3.33}, {'micro_high_price': 1191.1, 'drop_pct': 34.7}, {'micro_high_price': 942.72, 'drop_pct': 17.5}]",True
2017-01-05,1191.1,2017-01-12,755.76,36.55,7,4,2,2,"[{'micro_high_price': 1191.1, 'drop_pct': 34.7}, {'micro_high_price': 942.72, 'drop_pct': 17.5}]",True
2017-03-03,1280.31,2017-03-18,957.66,25.2,15,4,2,2,"[{'micro_high_price': 1280.31, 'drop_pct': 26.77}, {'micro_high_price': 1257.98, 'drop_pct': 25.47}]",True
2017-03-21,1122.43,2017-03-25,903.71,19.49,4,2,1,1,"[{'micro_high_price': 1122.43, 'drop_pct': 16.47}]",True
2017-05-25,2763.71,2017-05-27,1855.83,32.85,2,2,1,1,"[{'micro_high_price': 2763.71, 'drop_pct': 26.23}]",True
2017-06-06,2999.91,2017-07-16,1843.03,38.56,40,4,2,2,"[{'micro_high_price': 2999.91, 'drop_pct': 18.85}, {'micro_high_price': 2916.14, 'drop_pct': 33.82}]",True
2017-09-02,4975.04,2017-09-15,2946.62,40.77,13,4,2,2,"[{'micro_high_price': 4975.04, 'drop_pct': 36.58}, {'micro_high_price': 4661.0, 'drop_pct': 32.31}]",True
2017-12-17,20089.0,2017-12-22,11833.0,41.1,5,2,1,1,"[{'micro_high_price': 20089.0, 'drop_pct': 42.8}]",True
2018-01-06,17712.4,2018-02-06,6048.26,65.85,31,4,2,2,"[{'micro_high_price': 17712.4, 'drop_pct': 60.73}, {'micro_high_price': 13103.0, 'drop_pct': 46.92}]",True
2018-02-20,11958.5,2018-06-24,5826.41,51.28,124,12,6,6,"[{'micro_high_price': 11958.5, 'drop_pct': 33.8}, {'micro_high_price': 9177.37, 'drop_pct': 27.69}, {'micro_high_price': 7530.94, 'drop_pct': 11.88}, {'micro_high_price': 9964.5, 'drop_pct': 28.39}, {'micro_high_price': 7754.89, 'drop_pct': 23.87}, {'micro_high_price': 6822.5, 'drop_pct': 13.47}]",True
2018-07-24,8424.27,2018-08-14,5971.05,29.12,21,2,1,1,"[{'micro_high_price': 8424.27, 'drop_pct': 26.58}]",True
